Name,Height,Weight
Kim Dae Jung,190,85
Julio César Rodríguez,182,85
Stefan Scougall,170,57
Wescley,173,70
Kim Jin Young,195,87
Alfredo Morelos,177,79
Luke Mulholland,175,68
Marius Lundemo,188,79
Gwak Hae Seong,178,70
Sivert Heltne Nilsen,185,78
Eero Markkanen,197,97
Deni Milošević,182,73
Thierry Ambrose,178,71
Lyes Houri,175,75
Matías Blázquez,188,83
Ricardo Vaz,172,68
Jorge Sánchez,170,80
Sebas Coris,182,72
Carlos Rivas,174,70
Andy Kawaya,173,82
Marco Ilaimaharitra,178,77
Danilo Ortiz,188,86
Filippo Scaglia,191,88
Idriss Mhirsi,177,70
Rufo,176,73
Marcos Astina,170,64
Junior Oto'o,177,74
Olivier Kemen,177,78
Federico Álvarez,183,78
Samuel Štefánik,178,74
César Mena,190,83
Carlos Rivas,170,60
Filip Marković,181,78
Fábio Santos,184,78
Diego Torres,175,70
Santiago Lizana,167,68
Sam Nicholson,175,71
Fabián Manzano,173,71
Facundo Cardozo,182,81
Andrea Barberis,177,72
Luca Lezzerini,195,86
Ignacio Pussetto,180,74
Christian Mafla,175,70
Manuel García,188,76
Christophe Diedhiou,190,76
Michael Heinloth,177,75
Miller Mosquera,180,72
Christian Bravo,168,70
Juan Eduardo Fuentes,175,74
Marcos Caicedo,176,76
Francisco Dutari,182,75
Vítor Gonçalves,174,70
Eliser Quiñones,174,80
Fabián Carmona,176,69
Haythem Jouini,192,86
Gustavo Mencia,179,78
Andrew Hjulsager,175,72
Vadim Afonin,176,68
Emmanuel Boateng,167,70
Harold Cummings,180,84
Manuel Perez,180,71
Adam Sušac,185,80
Akapo,178,70
Alan Browne,173,71
Artem Timofeev,187,75
Sinan Bytyqi,185,82
Jeppe Andersen,178,75
Sam Hendriks,180,77
Mitch Apau,181,82
Bart Vriends,188,81
Philipp Zulechner,182,80
Stefan Nutz,178,67
Cican Stankovic,186,80
Mariano Arini,178,75
Antonio Medina,170,65
Nahuel Valentini,184,80
Jonatan Blanco,186,84
Andrés Imperiale,185,78
Cristian Villanueva,179,71
Dardo Miloc,177,74
Marc Dal Hende,179,75
Yann Boé-Kane,185,76
Adrien Monfray,186,79
Mart Dijkstra,183,83
Michał Masłowski,178,76
Erdal Rakip,179,73
Freek Heerkens,184,76
Danilson da Cruz,188,85
Karol Mackiewicz,178,66
Daryl Werker,190,80
Renzo Saravia,178,74
Fernando Elizari,172,72
Cristian Lema,190,90
Óscar Carniello,177,78
Sander Svendsen,172,67
Lucas Menossi,168,65
Gastón Díaz,178,64
Armando Cooper,180,68
Manuel Villalobos,171,72
Sebastián Moyano,188,79
Misael Dávila,172,69
Víctor Hugo Sarabia,172,71
Francisco Pizzini,177,71
Esteban González,172,73
Matías Donoso,185,88
Sebastián Gonzalez,175,70
Javier Capelli,178,75
Jorge Valdez Chamorro,176,72
Nicolás Avellaneda,191,77
Ronald de la Fuente,175,75
José Luis Muñoz,178,72
Fernando Saavedra,175,74
Gabriel Sandoval,170,68
Matías Navarrete,177,73
Yamilson Rivera,173,68
Luis Mosquera,175,68
Mauricio Restrepo,174,70
Darwin López,176,77
Darío Melo,179,76
Esteban Carvajal,172,67
Yair Arrechea,186,81
Félix Noguera,177,75
Henry Rojas,177,74
David Valencia,185,75
Dilan Zúñiga,170,73
Camilo Rodríguez,170,66
Carlos Escobar,183,75
Juan Zuluaga,176,67
Cristian Restrepo,174,74
Álvaro Navarro,186,79
Carlos Giraldo,180,79
Alcatraz,180,75
Sergio Mosquera,190,85
Hárrison Mojica,168,67
Ahmed Al Nazera,172,66
Elacio Córdoba,175,72
Anton Mitryushkin,189,82
Mikael Uhre,188,85
Lebogang Phiri,176,60
Chris Erskine,185,76
Paweł Stolarski,181,74
Wandrille Lefèvre,185,79
Adolphe Teikeu,189,80
Jonathan Ring,182,74
Dillon Serna,170,64
Diawandou Diagné,175,62
Lee Evans,186,88
Khaled Ayari,180,79
Marko Marić,191,89
Niels De Schutter,181,77
Abdellah Zoubir,180,75
Luis Fernández,175,72
Zach Clough,170,64
Erik Hurtado,178,79
Pa Konate,178,72
David Kinsombi,183,74
John Souttar,189,75
Craig Slater,178,70
Wilberto Cosme,179,78
Germán Parreño,189,78
Jordi Vanlerberghe,189,82
Jaime Gómez,176,65
Edward Zenteno,180,78
Tarsi,178,69
Michael Pérez,169,75
Saeed Al Mowalad,180,65
Albert Rafetraniaina,176,65
Lucas Hufnagel,183,73
Alex Muñoz,185,74
Nils Quaschner,184,82
Philipp Riese,175,69
Betinho,179,74
Caolan Lavery,180,76
Thamsanqa Gabuza,181,85
Leonardo Bertone,179,72
Pol García,185,78
Nico Hidalgo,176,64
Andrea Tabanelli,192,78
Alexandr Putsko,190,89
Nono,170,62
Matthew Rusike,181,80
Nicolai Brock-Madsen,190,88
Frank Bagnack,182,75
Riccardo Fiamozzi,175,76
Riccardo Improta,179,73
Alhaji Kamara,180,73
Sultan Ali Al Sawadi,168,60
Salva Ruíz,179,73
Floriano Vanzo,180,77
Nuno Campos,176,70
Manuel Prietl,187,79
Charalampos Lykogiannis,186,78
Niklas Lomb,187,84
Romell Quioto,180,78
Thomas Murg,173,70
Muhannad Abu Radiyah,178,69
Assaf Ahmed Al Qarni,177,67
Mansour Al Harbi,170,65
Carlos Calvo,194,80
Terell Ondaan,171,72
Rafael Batatinha,182,71
Craig Goodwin,180,72
Guus Joppen,180,78
Vedran Janjetović,187,84
Mikhail Rosheuvel,176,71
Abdullah Al Owayshir,185,73
Gary Warren,184,75
Radosław Murawski,175,74
Rochdi Achenteh,165,63
Kristoffer Haugen,188,77
Awad Khrees,178,73
Alex Grant,191,88
Tawfiq Bu Haymid,168,57
Per Frick,182,81
Ahmed Ali Al Kassar,178,76
Hattan Bahebri,170,63
Fawaz Al Qarni,184,82
Ashton Götz,177,74
Nathaniel Knight-Percival,182,73
Mohammed Eid Al Bishi,182,81
Daniel Łukasik,178,73
Jimmy Roye,174,68
Jimmy Giraudon,184,71
Kenneth Schuermans,195,82
Wouter Marinus,179,73
Gino van Kessel,182,83
Alan Uryga,191,85
Marky Delgado,175,66
Tim Chow,180,72
Dejan Mezga,175,71
Pa Dibba,177,68
Kornel Osyra,190,75
Amir Fahad Kurdy,178,78
Berat Djimsiti,190,83
Federico Andrada,186,76
Viktor Agardius,181,78
Ivan Runje,192,83
Murray Wallace,188,75
Pedro Martín,189,81
Valeriu Ciupercă,179,73
Patryk Tuszyński,184,77
Jordan Botaka,183,73
Raymon Gaddis,175,68
Alan Mendoza,173,77
Jota,176,71
Paco van Moorsel,187,78
Calum Mallace,186,82
Jose Villarreal,172,73
Martin Bjørnbak,193,90
Mikael Boman,188,90
Franco Fragapane,167,65
José Valencia,185,82
Matías Campos,178,76
Darren Mattocks,179,70
Connor Lade,169,65
Jason Holt,164,70
Louis Thompson,180,75
Marius Høibråten,184,77
Franck Boli,180,78
Abdoulaye Sané,177,73
Ezekiel Fryers,183,80
Simeon Raykov,175,68
Marco Romizi,175,65
Anton Shvets,187,76
Selim Gündüz,171,78
Jairo Morillas,185,78
Jed Wallace,178,70
Alex Rodríguez,177,70
Cheick Diarra,174,79
David Bruno,175,69
Martin Sourzac,184,78
Mike van Duinen,187,74
Alexander Juel Andersen,189,84
Adam Henley,178,77
Marco Thiede,178,69
Herolind Shala,178,71
De Los Reyes,183,79
Jack Baldwin,185,70
Donovan Léon,186,88
Cristian Ceballos,173,67
Herman Stengel,178,70
Fernando,185,79
Igor Rossi,189,78
Milan Borjan,193,84
Baïssama Sankoh,180,73
Nick Ansell,186,84
Jack Grimmer,184,83
Dejan Janjatović,186,87
Joshua Smits,190,75
Menno Koch,195,78
Mehdi Jeannin,187,80
Kiko,183,80
Alberto Almici,181,77
Michael Ngoo,198,70
Stanley Elbers,172,68
Gianmario Comi,186,74
Rayan Frikèche,184,78
Michael Smith,180,71
Dylan McGowan,188,85
Jak Alnwick,188,82
Anthony O'Connor,188,79
Aleksandar Todorovski,179,76
Marcus Bettinelli,194,82
Iasmin Latovlevici,176,74
Tom Trybull,181,72
Kenny Lala,178,78
Anass Achahbar,174,72
Félix Araujo,187,84
Ousseynou Cissé,195,85
Mehmet Akyüz,187,87
Adrián Luna,169,60
Richard Windbichler,183,72
Ibrahim Salah,176,70
Daniel Davari,192,90
Lawrence Thomas,191,91
Ashtone Morgan,180,75
Ben Halloran,184,77
Joshua Brillante,177,73
James Jeggo,179,66
Kamal Issah,178,66
Kim Dae Ho,180,78
Richard Lašík,184,75
Nicolás Peñailillo,184,75
Reece Wabara,182,79
Christopher Forrester,180,68
Nathan Byrne,172,70
Martin Angha,188,79
Gerson,186,85
Weslley,180,72
Florian Makhedjouf,187,83
Thorsten Röcher,181,78
Michael Doughty,185,81
Kim Byeong Oh,181,78
Dimitri Bisoli,180,72
Daniel Amora,187,78
Leon de Kogel,193,88
Vojo Ubiparip,180,72
Riffi Mandanda,185,85
Servando Carrasco,180,77
Joe Willis,196,84
Zeli Ismail,173,75
Josh Williams,188,87
Ažbe Jug,192,89
Fabio Concas,177,62
Chuks Aneke,191,83
Zarek Valentin,183,73
Kofi Sarkodie,175,75
Ethan White,183,83
Kim Ojo,192,82
Christoffer Remmer,182,75
Ohi Omoijuanfo,188,75
Jeff Attinella,188,86
Russell Teibert,173,66
Daniel Lafferty,180,76
Federico Furlan,179,68
Manu Molina,178,72
Andrea La Mantia,190,85
Simone Sini,183,76
Arkadiusz Woźniak,180,83
Bartłomiej Pawłowski,178,70
Scott Allan,179,67
Callum Booth,180,75
Steven Lawless,170,65
Florent Ogier,182,75
Charis Mavrias,178,78
Christoph Knasmüllner,181,70
Josh Morris,182,72
Curtis Nelson,183,74
Abdenasser El Khayati,185,69
Giacomo Beretta,183,74
Terry Antonis,178,68
Kristof D'Haene,168,65
Simone Corazza,178,71
Pulido,185,78
Joaquín Boghossian,197,94
Ali Messaoud,185,79
Giliano Wijnaldum,181,76
Alessandro Cerigioni,182,72
Rémi Mulumba,178,70
Sefa Yılmaz,183,79
Florent Cuvelier,175,76
Ricky Holmes,172,75
Andreas Wittwer,172,78
Fabian Koch,180,68
Dionicio Escalante,179,87
Dennis Hediger,175,79
Kim Young Wook,177,70
Ryoichi Maeda,184,78
Camaldine Abraw,180,79
Andy Halliday,173,67
Mustafa Amini,175,75
Roland Gigolaev,178,73
Daylon Claasen,170,65
Elba Rashani,181,71
Joe Shaughnessy,183,69
Hallur Hansson,182,77
Jorge Enríquez,189,81
Chris Schuler,193,84
Seth Sinovic,178,77
Bart Schenkeveld,184,80
Edu Oriol,177,71
Boadu Maxwell Acosty,179,72
Aaron Martin,190,76
Ben Zemanski,180,68
Eric Alexander,185,75
Eric Larsson,175,69
Martin Lorentzson,179,72
Mateusz Możdżeń,180,76
Fofo,188,77
Miguel Angel Sansores,174,73
Luciano Castán,187,85
Hiroki Mizumoto,183,74
Clemens Fandrich,177,68
Ibrahim Rabiu,167,62
Nahir Besara,182,76
Je-Vaughn Watson,185,81
Elvis González,174,69
Tonia Tisdell,177,75
Luis Gutiérrez,181,86
Crivellaro,183,78
Nathaniel Mendez-Laing,178,75
Alexey Pomerko,184,77
Kevin Gomis,186,85
Kevin Long,187,82
James Collins,188,86
Lee Brown,183,79
Aaron Wildig,175,73
David Wotherspoon,177,76
Musa Nizam,182,74
Sebastián Gallegos,172,67
Tiago Almeida,180,74
Michel García,170,75
David Drocco,167,70
Fabio Pisacane,178,77
Vladimir Dyadyun,183,77
Thiago Cardoso,185,82
Ash Taylor,193,76
Stephan Salger,183,76
Piotr Tomasik,177,72
Osama Malik,185,75
Shane Ferguson,175,66
Scott Neville,186,75
Dilly Duka,175,70
Rodolfo Vilchis,165,66
Maksim Bordachev,190,83
Anton Wede,174,72
Rhyan Grant,174,74
Peter Abrahamsson,190,92
Erik Friberg,180,66
Cho Chan Ho,170,68
Lee Chang Hoon,173,67
Kwon Soon Hyung,176,73
Akira Takeuchi,181,71
Yosuke Fujigaya,185,82
Dejan Jaković,188,79
Jesús Isijara,172,68
Tobias Sana,173,70
Robert Lundström,182,72
Luciano Civelli,187,84
Rob Kiernan,186,77
Tosaint Ricketts,181,77
Mana Dembélé,184,82
Jonathan Obika,183,76
Hiroshi Ibusuki,195,89
Jahir Barraza,182,77
Riccardo Brosco,191,94
Michael Sollbauer,187,83
Sheanon Williams,180,77
Daniel Gustavsson,178,73
Lyle Taylor,188,79
Jordan Clarke,183,71
Paul Coutts,183,75
Dieter Elsneg,176,74
Hugo Fraile,176,73
Dalibor Veselinović,198,91
Carlos Lázaro,180,77
Damien McCrory,183,81
Daniele Gasparetto,195,85
Gianluigi Bianco,184,78
Thomas Reifeltshammer,188,72
Iriondo,167,62
Radek Dejmek,188,86
Jeffrén,173,71
Stuart O'Keefe,173,64
Barış Memiş,167,64
Maic Sema,173,63
Christopher Telo,172,70
Peter Pawlett,178,68
Adam Chicksen,173,74
Alex Cisak,190,94
Atdhe Nuhiu,197,85
Johan Mårtensson,180,75
Christian Klem,172,71
Jason Steele,190,79
Marcin Pietrowski,184,79
Liam Sercombe,178,69
Antonio Zito,184,81
Edouard Butin,180,76
David Ulm,174,70
Guyon Fernandez,184,76
Anthony Lippini,175,68
Jon McLaughlin,188,83
Alberto Pomini,187,83
Adrian Nikçi,182,76
Shaun Brisley,188,77
Neco,174,71
Azamat Zaseev,179,69
Adlan Katsaev,180,73
Martijn van der Laan,175,75
Milan Milanović,194,88
Erik Pimentel,176,77
Jo Su Huk,187,80
Raphael Wolf,190,86
Daniel Christensen,173,76
Pavels Šteinbors,191,81
Luca Di Matteo,180,74
Pedrinho,175,72
Nikola Gulan,185,79
Andrew Jacobson,188,84
José Carvallo,183,82
Piotr Polczak,192,75
Khaled Adenon,181,70
Chance Myers,183,75
Tony Beltran,173,68
Daniel Arreola,178,71
Christian Landu Landu,183,83
Liam Kelly,187,88
Ruymán,184,77
Henrik Ojamaa,176,79
Gavin Gunning,188,80
Juanmi Callejón,178,70
Robin Henkens,174,74
Tommy Høiland,175,71
Yohann Thuram,188,90
Gary Madine,191,75
Mattia Mustacchio,180,78
Dorian Dervite,192,85
Josué Ayala,183,80
Joachim Thomassen,180,78
Fredrik Brustad,192,88
Richard Sukuta-Pasu,190,91
Peter Orry Larsen,184,80
Alfonso Blanco,185,91
Daniel Toth,173,68
Alexander Stolz,189,89
Jordan Spence,187,77
Joe Jacobson,180,79
Jonatan Tollås Nation,188,80
Manuel Hornig,190,85
Bruce Abdoulaye,181,82
Fabian Müller,175,68
Danny Hylton,183,71
Greg Bolger,180,73
Lucas Silva,188,78
Sam Hird,182,76
Alexandr Prudnikov,185,78
Mao Jianqing,178,66
Nigel Boogaard,188,88
Oumar Sissoko,187,84
André Hainault,185,79
Ahmed Ibrahim Ateef,167,66
Park Won Jae,175,69
Oliver Bozanic,183,77
Manuel Viniegra,180,79
David Worrall,170,67
Stefan Maierhofer,202,98
Amin Nouri,180,77
Simon Church,183,83
Hassane Alla,181,78
Takayuki Morimoto,180,77
Ludovic Sylvestre,183,77
Kaká,187,78
Erik Jendrišek,176,74
Ludovic Gamboa,177,73
Yves De Winter,188,82
David Da Costa,186,76
Andreas Nordvik,187,81
Dominic Oduro,183,73
Kai Bülow,188,81
Cyriaque Louvion,185,80
Mickaël Tavares,186,78
Craig Alcock,173,70
Massimo Zappino,188,83
Andy Williams,188,78
Luis Martínez,173,81
Karim Guédé,184,87
Franck Moussa,173,74
Julien Toudic,174,76
Zdeněk Zlámal,193,92
Marco Canchila,179,75
Carlos Díaz,176,75
Jean Calvé,183,78
Robert Milsom,179,72
Jung In Whan,187,86
Lee Sung Hyun,176,69
Marc Burch,185,82
Glen Moss,187,90
Tam Scobbie,183,70
Simon Eastwood,188,90
Lucas Akins,186,84
Lloyd James,178,74
Miles Addison,191,93
Berat Sadik,192,83
Eggert Jónsson,188,72
Borda,190,78
Diego Lagos,176,73
Tobias Mikkelsen,178,73
Ed Upson,178,73
Oscar Díaz,183,78
Cirio,168,63
David Forde,188,90
Marino Defendi,176,73
Brendan Moloney,186,85
Ben Hamer,193,78
Scott Laird,183,83
Danny Guthrie,176,79
Israel Villaseñor,189,80
Michael O'Connor,180,79
Michael Gardyne,170,64
Elmar Bjarnason,182,77
Michael McGlinchey,175,68
André Bahia,182,85
Marco Jiménez,166,77
Goran Karanović,185,82
Raffaele Schiavi,183,73
Matt Done,178,65
Denni Avdić,192,80
Anri Khagush,179,77
Nicky Adams,175,70
Jakub Tosik,180,81
Wojciech Kędziora,187,75
Federico León,180,77
Billy Clarke,170,64
Jason Demetriou,180,68
Grzegorz Bonin,188,78
Craig Davies,188,85
Marek Wasiluk,196,83
David Raven,183,73
Jason Hernandez,180,77
Marcel de Jong,174,73
Chad Barrett,180,81
Tony McMahon,180,72
Daniel Fernandes,195,94
Chris Dagnall,173,75
Tomasz Brzyski,177,68
Joe Walsh,180,70
Gaëtan Krebs,165,63
Jamie Young,180,83
Mauricio Caranta,184,77
Brendon Santalab,173,72
Sergiy Pylypchuk,186,85
Sebastián Penco,183,82
Henrico Drost,183,80
Radosław Cierzniak,187,81
Santamaría,175,72
David de Paula,175,66
Conrad Logan,188,89
Edgar Dueñas,185,80
Shamil Asildarov,186,83
Queco Piña,190,88
Paul Robinson,175,73
Manuel Coppola,172,80
Bob Harris,173,64
Osvaldo Barsottini,182,83
Peter Larsson,187,86
Claes Kronberg,177,75
Knut Olav Rindarøy,177,74
Luis Ricardo Esqueda,174,77
Gennaro Sardo,190,87
Andrew Considine,183,75
Richard Wood,191,82
Thomas Gebauer,191,88
Dexter Blackstock,185,76
Tomáš Černý,184,83
Lewis Buxton,185,83
Stephen McManus,188,79
Stephan Petersen,187,79
Leon Clarke,188,90
Martin Woods,180,78
Scott Brown,188,87
Marko Stanković,177,77
James Coppinger,170,65
Brian Vandenbussche,196,92
Łukasz Madej,176,70
Felipe Sanchón,164,63
Iago Bouzón,182,72
Ripa,177,73
Saizar,190,84
Migue,185,80
Luciano Vella,175,71
Mauro Rosales,173,75
Iván Furios,185,85
Leonardo Di Lorenzo,176,73
Milovan Mirošević,181,79
Paul Quinn,185,72
Paddy McCourt,178,70
Mark-Jan Fledderus,178,71
Greg Halford,193,82
Cho Won Hee,177,72
Daniel Lopar,187,85
Bryan Bergougnoux,177,79
Dean Lewington,182,70
Josh Saunders,193,95
Anouar Hadouir,170,68
Adriano Russo,186,72
Lionel Cappone,182,74
Brian Carroll,178,70
Kim Yong Dae,189,81
Eric Marester,172,67
Dean Bowditch,180,72
Christoffer Källqvist,193,96
François Pantxi Sirieix,180,70
Chaouki Ben Saada,170,65
Luke McCormick,183,88
Carlos García,184,82
Nicolas Timmermans,182,73
Nick Montgomery,175,74
Nathan Tyson,183,64
Lloyd Doyley,178,88
Lee Holmes,175,66
Jobi McAnuff,177,73
Espen Bugge Pettersen,189,87
Nelson Ferreira,175,72
Jon Jönsson,183,75
Morten Nordstrand,177,70
Eugène Ekobo,182,85
James McFadden,178,78
Keith Lasley,173,72
Theo Zwarthoed,188,88
Martin Albrechtsen,188,90
Toifilou Maoulida,184,77
Ferdinando Coppola,188,86
Jérémie Bréchet,187,80
Aaron Wilbraham,191,72
Martin Mikovič,168,67
Patrick Cutrone,183,78
Ronaldo Tavares,192,88
Maksym Bilyi,187,78
Diego Medeiros,187,75
Jovan Stojanović,188,75
Andriy Bliznichenko,177,72
Vasyl Kravets,185,78
Adul Seidi,184,75
Sinan Kurt,178,72
Iván Centurión,183,80
Davidson,177,70
Sergio Vergara,170,68
Lee Jeong Bin,173,65
José Guillermo Ortiz,180,73
Joe Abrigo,170,66
Bruno Wilson,192,86
Marc Gual,184,75
Aymen Barkok,188,75
Arnaud Nordin,170,68
Fabricio Bustos,168,69
Marc Cardona,181,67
Diego Barrios,188,79
Kingsley Madu,174,79
Pedro Aquino,174,70
Sergio Peña,180,74
Nito Carbelho,181,75
Elton Coengo,181,75
Pelle Clement,177,67
Markel Areitio,180,69
Alex Pozo,173,62
Sebastián Gorga,180,70
Alberto Picchi,185,69
Teodoro Paredes,185,83
Matic Fink,175,70
Luca Strizzolo,188,83
Sekou Konde,190,89
Álvaro Arencibia,178,74
Berkay Özcan,178,80
Dylan Flores,170,65
Vyacheslav Churko,184,89
Guus Til,183,72
Milan Massop,184,83
Dylan Bronn,185,76
Dejan Trajkovski,175,65
Germán Camacho,185,73
Quim Araujo,189,81
Kubilay Sönmez,183,74
Derrick Jones,191,75
Jean Carlos,185,76
Bruno Gomes,182,75
Gabriele Marchegiani,183,78
Idé,204,96
Thabiso Khutumela,175,68
Riyaad Norodien,168,65
Mattia Finotto,178,72
Luís Rocha,186,85
Ivica Žunić,195,87
Dávid Guba,181,79
Mathieu Chemin,181,77
Janota,190,86
Houssem Aouar,175,70
Óscar Franco,186,85
Francesco Margiotta,177,75
Efecan Karaca,166,56
Romain Bayard,167,63
Taha Yalçıner,178,70
Kristian Pedersen,191,83
Dominik Dinga,184,73
Soriano,182,75
Edmore Chirambadare,180,74
László Bénes,181,72
Anzor Sanaia,188,84
Frederic Ananou,182,73
Edouard Mendy,197,86
Bakaye Dibassy,183,74
Juan Leiva,181,78
Nazareno Solís,170,70
Peter Etebo,176,70
Ahmet Dereli,185,82
Niklas Hauptmann,176,66
Atomu Tanaka,167,68
Louis Samson,190,81
Aschraf El Mahdioui,183,73
Indy Groothuizen,190,88
Renato Tarifeño,170,65
Tamás Szántó,179,73
Khaly Thiam,185,83
Jacobo Kouffaty,168,68
Yangel Herrera,182,62
Tomás Nuninho,189,83
Kainho Selva,183,79
Naldo Freidinha,177,69
Mardial Cunha,183,77
Francisco Afonso,176,69
Asahi Masuyama,173,72
Blas Riveros,178,68
Saeid Ezatolahi,190,78
Seiya Fujita,175,70
Shunsuke Kikuchi,180,75
Shota Arai,185,82
Tatsuya Hasegawa,164,58
Matías Quiroga,195,83
Giorgi Shelia,190,83
Amir Hadziahmetovic,179,70
Hisashi Jogo,183,77
Kosuke Taketomi,173,69
Seigo Kobayashi,176,65
Hidekazu Otani,174,67
Ryota Nagaki,173,72
Kazunori Yoshimoto,185,83
Ryoya Ogawa,180,75
Yota Akimoto,183,84
Choi Kyu Baek,188,77
Cayman Togashi,178,73
Yoshiki Takahashi,170,67
Masato Fujita,176,75
Lautaro Comas,172,67
José Méndez,171,68
Kim Min Hyeok,187,73
Kentaro Oi,180,75
Taisuke Nakamura,183,70
Kohei Shimizu,168,64
Tatsuya Morita,191,87
Diego Zabala,172,64
Yusuke Chajima,166,60
Sho Sasaki,176,67
Hitoshi Shiota,185,83
Yasuhiro Hiraoka,183,70
Shun Obu,189,85
Vitor Costa,182,75
Yūki Mutō,170,68
Daisuke Nasu,180,77
Koki Otani,185,80
Gaëtan Perrin,169,63
Gastón Bottino,184,80
Maximiliano Lugo,180,75
Milan Jevtovic,184,80
Stefan Silva,181,74
Franco Mazurek,166,66
Agustín Bouzat,173,70
Farouk Miya,177,74
Carlos Sinisterra,170,62
Gonzalo Bazán,167,75
Mohamed Benyettou,186,86
Neri Bandiera,172,65
Brandon Vincent,180,79
Miguel Solís,185,83
Tsubasa Endoh,170,65
Vedran Jugović,178,69
Fredrik Aursnes,179,69
Leonardo Ruíz,185,76
Álvaro Tejero,172,65
Maecky Ngombo,191,82
Kevin Londoño,180,72
Romain Del Castillo,172,56
Robert Gojani,174,71
Jamie Hopcutt,180,74
Dennis Widgren,180,75
Douglas Bergqvist,185,87
Brahim Díaz,170,68
Philipp Lienhart,185,78
Jalil Elías,180,70
Mathieu Cafaro,172,65
Dorian Caddy,186,85
Boris Radunović,194,90
Hugo Rama,180,75
Martin Bukata,175,69
Leandro Rodríguez,179,68
Lucas Galvão,182,77
Faiz Selemani,181,65
Ademola Lookman,174,78
Nacho,177,70
Nacho Gil,176,72
Leandrinho,173,66
Marco Tagbajumi,187,89
Alisson Farias,171,67
Mert Örnek,184,77
Marin Oršulić,195,80
Jay-Roy Grot,193,93
Sero Rochedo,179,72
Emílio Trevões,177,72
Paulito Zanon,186,80
Henrique Jardinel,175,71
Nuno Moldeiro,187,80
Bruno Fagundeiro,189,73
João Gerster,189,74
Edu Selneira,182,77
Marcelo Vildeia,172,69
Renan Tojeiras,179,78
Adnan Vidual,188,78
Lúcio Corteijo,180,74
Lucas Mantela,179,76
Peter Abradanel,189,86
Lassana Coulibaly,175,67
Enock Kwateng,183,75
Dave Romney,188,79
Daniele Mignanelli,185,73
Borja Domingo,180,75
Kilian Grant,180,76
Mayron George,189,80
Jérémy Vachoux,183,78
Philipp Ochs,174,73
Uroš Korun,188,79
Shamil Gasanov,185,76
Gökhan Akkan,186,80
Simone Rapp,193,83
Hugo Gomes,187,82
Arroyo,176,70
Miloš Degenek,187,75
Arturo Calabresi,186,75
Víctor Morales,190,89
Daniel Alexis Castillo,178,79
Pablo Rojas,167,72
Batraz Khadartsev,173,73
Georgiy Zotov,175,72
Àlex Corredera,181,72
Christian Tabó,174,70
Thomas Ouwejan,181,74
Jan Kliment,185,76
Pantelis Hatzidiakos,181,80
Muhammed Bayır,165,64
Serdar Deliktaş,180,61
Branislav Niňaj,191,85
Jeppe Kjær,172,71
Kévin N'Doram,184,76
Daniel Angulo,180,85
Olivier Myny,178,67
Grégoire Amiot,187,81
Manuel Guanini,191,86
Ludcinio Marengo,175,70
Gift Motupa,180,79
André Green,180,71
Ricardo Bagadur,189,85
Ramiro Ballivián,168,62
Diego Alende,180,75
Lukas Görtler,185,82
Edison Tarabai,169,73
Ezequiel Ávila,178,81
Adrian Dabasse,187,79
Mamadou Thiam,180,82
Pape Abou Cissé,197,93
Valtteri Moren,188,76
Romuald Lacazette,175,74
Bernabé,189,76
Oh Seung Hoon,192,79
Arquímedes Figuera,172,68
Chi Zhongguo,170,65
Luciano Ospina,190,81
John McCarthy,191,82
Beni Badibanga,176,71
Josip Barišić,186,80
Maximiliano Calzada,170,69
Calvin Verdonk,178,70
Gastón Giménez,188,88
Jodi Jones,177,73
Maximilian Mittelstädt,178,69
Misael Riascos,171,71
Oh Chang Hyeon,179,73
Pedro Monteiro,192,85
Elías Már Ómarsson,183,73
Alexandre Vincent,173,70
Wilder Mosquera,191,85
Michael Zetterer,187,79
Roberto Brum,174,74
Agustín Rossi,195,85
Diego Gregori,176,65
Konstantin Kerschbaumer,179,72
Alessio Vita,176,67
Ignacio Boggino,187,82
John Varela,163,62
Léiner Escalante,177,66
David Ramirez,173,74
Matías Castro,180,73
Felipe Banguero,184,74
Jang Hyun Soo,177,68
Arley Rodríguez,176,74
Ramón Córdoba,183,82
Ferhad Ayaz,178,63
Aron Elís Thrándarson,187,83
Sergio Santos,180,77
Matías Giordano,189,87
Kieran Dowell,177,73
Renzo Vera,183,86
Lucas Villarruel,171,71
Hwang Hee Chan,177,74
Sean Davis,183,75
Thilo Kehrer,186,72
Desevio Payne,182,73
Chey Dunkley,188,85
Milen Gamakov,189,78
Elliot Käck,173,68
Gaston Camara,177,69
Boubacar Barry,182,73
Maximilian Dittgen,182,80
Bruce Kamau,175,67
Anuar,172,63
Kasim Adams Nuhu,190,83
Kingsley Ehizibue,187,82
Gyrano Kerk,180,70
George Puşcaş,184,70
Ilzat Akhmetov,172,65
Alexandr Zuev,176,62
Marlon Frey,180,78
Stiven Vega,178,70
Abdulrahman Al Shammari,172,60
Maurice Hirsch,175,69
Kaan Baysal,177,69
Jhon Duque,173,68
Gennaro Acampora,177,78
Mickaël Latour,177,66
Ivan Provedel,192,84
Tomáš Malec,199,93
Rafael Barrios,176,78
Alexey Pugin,182,74
Yin Hongbo,180,69
Israel Poblete,171,70
Andrea Arrighini,180,75
Pietro Visconti,185,76
Emiliano Tellechea,172,75
Adrián Scifo,180,73
Yann,173,78
Lucas Hoyos,183,76
Taras Romanchuk,186,73
Nicolás Stefanelli,176,72
