Name,Height,Weight
Patrick Herrmann,179,70
Sebastián Coates,196,92
Oğuzhan Özyakup,180,75
Yaroslav Rakitskyi,180,70
Phil Jones,185,71
Adrián,188,77
Neto,192,84
Hugo Mallo,173,69
Daniel Didavi,180,78
Younès Belhanda,177,75
Oliver Baumann,187,82
Mário Fernandes,187,80
Roberto Soriano,182,76
Jesús Corona,173,62
Maxime Gonalons,187,76
Alphonse Areola,191,91
Yunus Mallı,179,72
Eduardo Salvio,173,68
Stephan El Shaarawy,178,72
Iago Falqué,174,69
Marwin Hitz,192,84
Thimothée Kolodziejczak,185,75
Francis Coquelin,178,74
Marcel Schmelzer,181,74
Ryad Boudebouz,177,74
Ganso,184,78
Fedor Smolov,187,80
Christian Noboa,183,75
Kwadwo Asamoah,173,76
Ron-Robert Zieler,187,73
Danny Welbeck,185,73
Danny Drinkwater,177,70
Aleksandar Kolarov,187,83
Matteo Darmian,182,70
Ibrahima Traoré,171,61
Diego Perotti,179,70
Angelo Ogbonna,191,86
Max Kruse,180,76
Konstantinos Mitroglou,188,85
Nordin Amrabat,178,77
Stevan Jovetić,183,79
Jeremain Lens,178,73
Branislav Ivanović,185,91
Eder,179,74
Kiko Casilla,191,84
Nacho Monreal,179,72
Serdar Tasci,186,80
Marcelo Díaz,166,63
André Ayew,176,72
Winston Reid,190,87
Lucas Leiva,179,73
Kevin-Prince Boateng,186,86
Héctor Moreno,183,80
Cristian Ansaldi,181,76
Daniel Wass,181,74
Coke,177,74
Andrés Guardado,169,67
Jonathan dos Santos,172,68
Ryan Bertrand,179,85
Jardel,192,85
Salvatore Sirigu,190,80
Yohan Cabaye,174,71
Vitaliy Denisov,178,75
Dušan Basta,183,72
Gustavo Cabral,182,81
Gabriel Paletta,190,80
Łukasz Fabiański,190,83
Ben Foster,193,90
Vedad Ibišević,188,82
Andreas Granqvist,192,84
Héctor Herrera,183,72
Igor Akinfeev,186,82
Fernando Belluschi,173,78
Andriy Pyatov,190,84
Antonio Mirante,193,79
Federico Marchetti,188,83
James Milner,176,70
Michel Vorm,184,84
Daniel Baier,176,77
Atiba Hutchinson,187,83
Mehmet Topal,187,82
Bastian Schweinsteiger,183,79
René Adler,191,87
Jérémy Toulalan,183,85
Phil Jagielka,183,83
Stefano Sorrentino,186,86
Robin van Persie,187,71
Gareth Barry,183,79
Francesco Totti,180,82
Gianluigi Donnarumma,196,90
Nélson Semedo,177,67
Florin Andone,182,78
Sergej Milinković-Savić,191,76
Omar Al Soma,192,72
Petros,181,78
Victor Nilsson Lindelöf,187,80
Naby Keïta,172,64
Tiémoué Bakayoko,184,72
Mahmoud Dahoud,177,69
Rúben Semedo,189,84
Rafa,170,63
Dani García,180,75
Lisandro López,187,80
Ángel Correa,174,70
Andreas Christensen,188,78
Nabil Bentaleb,187,78
Stanislav Kritsyuk,192,85
Divock Origi,185,75
Max Meyer,173,68
Gayà,172,64
Marco Benassi,184,80
Pedro Santos,173,65
Elseid Hysaj,182,70
João Cancelo,182,72
Alessio Romagnoli,185,75
Piotr Zieliński,180,75
Bruno Peres,178,72
Ricardo Pereira,175,70
Óliver Torres,175,63
Filip Kostić,184,82
Emre Can,184,82
Matthias Ginter,190,87
Luciano Vietto,173,70
Arrizabalaga,188,83
